regimendrug_id,regimen_id,drug_id
143,77,74
144,78,75
145,79,76
146,80,77
147,81,78
148,82,79
149,83,80
150,84,81
151,85,82
152,86,83
153,87,92
154,88,93
155,89,94
156,90,95
157,91,96
158,92,97
159,93,29
160,93,3
161,93,31
162,93,19
163,94,3
164,94,27
165,94,31
166,94,19
167,95,29
168,95,3
169,95,19
170,96,25
171,96,3
172,96,19
173,97,6
174,97,14
175,98,98
177,100,6
178,100,27
179,101,6
180,101,2
181,102,5
182,102,30
183,102,29
184,103,5
185,103,30
186,103,1
187,104,5
188,104,30
189,104,27
190,105,5
191,105,30
192,105,14
193,106,5
194,106,31
195,106,29
196,107,5
197,107,31
198,107,27
199,108,32
200,108,29
202,109,24
203,109,21
204,109,36
205,110,21
206,110,36
207,110,38
208,111,23
209,111,3
210,111,29
211,112,23
212,112,3
213,112,27
214,113,19
215,113,13
216,113,3
217,113,29
218,114,19
219,114,13
220,114,3
221,114,27
222,115,99
223,99,6
224,99,1
1,1,19
2,1,3
3,1,14
4,2,19
5,2,3
6,2,1
7,3,19
8,3,3
9,3,23
10,4,19
11,4,3
12,4,31
13,5,23
14,5,3
15,5,14
16,6,23
17,6,3
18,6,1
19,7,15
20,7,3
21,7,14
22,8,15
23,8,3
24,8,1
25,9,31
26,9,5
27,9,14
28,10,31
29,10,5
30,10,1
31,11,32
32,11,14
33,12,32
34,12,1
35,13,19
36,13,3
37,13,27
38,14,19
39,14,32
40,14,27
41,15,23
42,15,22
43,15,28
44,16,23
45,16,22
46,16,27
47,17,15
48,17,3
49,17,27
50,18,32
51,18,27
52,19,31
53,19,3
54,19,27
55,20,31
56,20,3
57,20,29
58,21,9
59,22,10
60,23,16
61,23,4
62,23,13
63,24,33
64,24,4
65,24,2
66,25,18
67,25,4
68,25,13
69,26,18
70,26,4
71,26,2
72,27,7
73,28,8
74,29,11
75,30,12
76,31,25
77,31,36
78,31,38
79,32,25
80,32,36
81,32,2
82,33,24
83,33,21
84,33,26
85,34,34
86,34,36
87,34,26
88,35,35
89,35,37
90,35,26
91,36,39
92,36,36
93,36,26
94,37,25
95,37,36
96,37,26
97,38,19
98,39,19
99,39,3
100,40,19
101,40,3
102,40,1
103,41,19
104,41,3
105,41,27
106,42,32
107,42,14
108,43,32
109,43,1
110,44,41
111,45,42
112,46,43
113,47,44
114,48,45
115,49,46
116,50,47
117,51,48
118,52,49
119,53,50
120,54,51
121,55,52
122,56,53
123,57,54
124,58,55
125,59,56
126,60,57
127,61,58
128,62,59
129,63,60
130,64,61
131,65,62
132,66,63
133,67,64
134,68,65
135,69,66
136,70,67
137,71,68
138,72,69
139,73,70
140,74,71
141,75,72
142,76,73
225,116,31
226,116,5
227,116,100
228,117,31
229,117,30
300,117,100
301,118,24
302,118,5
303,118,100
304,119,24
305,119,30
306,119,100
307,120,25
308,120,36
309,120,101
310,121,39
311,121,36
312,121,101
313,122,31
314,122,36
315,122,100
316,123,31
317,123,5
318,123,100
319,124,25
320,124,36
321,124,100
322,125,102
323,125,5
324,125,100
325,126,102
326,126,5
327,126,27
328,126,100
329,127,31
330,127,5
331,127,27
332,127,100
333,128,100
334,128,27
